studbook_id,slug,wiki_born,wiki_died,isb_birth,isb_birth_norm,isb_approx,isb_sex,isb_taxon,isb_name,isb_sire,isb_dam,isb_death
0574,ten-ten-2005-07-12,2005-07-12,2014-10-07,12 Jul 2005,2005-07-12,False,M,styani,TENTEN,9998,9992,
0604,big-george-2006-06-07,2006-06-07,2014-05-25,7 Jun 2006,2006-06-07,False,M,styani,,0275,0257,
0605,idgie-2006-06-07,2006-06-07,2020-04-02,7 Jun 2006,2006-06-07,False,F,styani,,0275,0257,
0660,ribbon-2006-05-30,2006-05-30,2022-09-27,30 May 2006,2006-05-30,False,F,styani,JAZG,9590,0084,
0662,yuuta-2006-06-02,2006-06-02,2022-05-23,2 Jun 2006,2006-06-02,False,M,styani,YUUTA,0366,0361,
0663,fuuka-2006-06-02,2006-06-02,,2 Jun 2006,2006-06-02,False,F,styani,FUUKA,0366,0361,
0665,aya-2006-06-05,2006-06-05,2016-10-06,5 Jun 2006,2006-06-05,False,F,styani,AYA,0263,0362,
0668,kokoro-2006-06-20,2006-06-20,2021-06-14,20 Jun 2006,2006-06-20,False,F,styani,JAZG,0096,0086,
0669,airi-2006-06-20,2006-06-20,2026-05-06,20 Jun 2006,2006-06-20,False,F,styani,JAZG,0096,0086,
0670,kotarou-2006-06-22,2006-06-22,2016-01-04,22 Jun 2006,2006-06-22,False,M,styani,KOTAROU,9997,9991,
0671,ajisai-2006-06-22,2006-06-22,,22 Jun 2006,2006-06-22,False,F,styani,AZISAI,9997,9991,
0672,min-fa-2006-06-23,2006-06-23,2026-05-19,23 Jun 2006,2006-06-23,False,F,styani,MINFA,0277,0271,
0673,mei-fa-2006-06-23,2006-06-23,2013-09-05,23 Jun 2006,2006-06-23,False,F,styani,MEIFA,0277,0271,
0674,coco-2006-06-24,2006-06-24,2025-11-09,24 Jun 2006,2006-06-24,False,F,styani,KOKO,0276,0256,
0675,nuts-2006-06-24,2006-06-24,2018-11-23,24 Jun 2006,2006-06-24,False,F,styani,NATU,0276,0256,
0676,shuuna-2006-07-04,2006-07-04,,4 Jul 2006,2006-07-04,False,F,,SYUNA,01112,00103,
0680,chao-2006-07-06,2006-07-06,2023-02-18,6 Jul 2006,2006-07-06,False,M,styani,TYAO,01103,9788,
0683,luna-2006-07-10,2006-07-10,2026-02-09,10 Jul 2006,2006-07-10,False,F,styani,JAZG,00102,0261,
0684,ken-ken-2006-07-18,2006-07-18,2022-03-26,18 Jul 2006,2006-07-18,False,M,styani,KENKEN,95122,9280,
0685,sora-2006-08-01,2006-08-01,,1 Aug 2006,2006-08-01,False,M,styani,SORA,9598,96109,
0686,daichi-2006-08-01,2006-08-01,2026-01-04,1 Aug 2006,2006-08-01,False,M,styani,DAICHI,9598,96109,
0702,kayah-2007-06-11,2007-06-11,,11 Jun 2007,2007-06-11,False,F,styani,,9501,0412,
0707,shama-2007-07-01,2007-07-01,2014-08-16,1 Jul 2007,2007-07-01,False,?,fulgens,,0209,9704,
0710,zeyar-2007-06-21,2007-06-21,2013-10-01,21 Jun 2007,2007-06-21,False,?,styani,,0094,0095,
0712,stellar-2007-06-26,2007-06-26,2017-07-11,26 Jun 2007,2007-06-26,False,F,styani,,0085,0097,
0713,cassie-2007-06-26,2007-06-26,,26 Jun 2007,2007-06-26,False,F,styani,,0085,0097,
