stud,sex,birth,sire,dam,taxon,name,death,events
9171,F,18 Jun 1991,8752,8714,styani,AKANE,,SABAE         18 Jun 1991 ______      Birth      AKANE     JAZGA 153C   styani | ASAHIKAWA     22 Apr 1993      1      Transfer
9172,F,18 Jun 1991,8752,8714,styani,KAORI,2003-12-21,SABAE         18 Jun 1991 ______      Birth     KAORI      JAZGA 154C   styani | MITO CHO      19 Jun 1993 ______      Transfer | 21 Dec 2003             Death | [Death by: Other/Unknown           Unknown   Digestive    Mechanical abnormality]
9173,F,20 Jun 1991,8643,8644,styani,AIAI2,,OKAYAMA       20 Jun 1991 ______      Birth      AIAI2     JAZGA 155C   styani | HIROSHIMA     22 Dec 1994 ______      Transfer | TOKYOUENO     20 Feb 2001 924937      Transfer
9174,F,20 Jun 1991,8643,8644,styani,JAZGA,2004-12-11,OKAYAMA       20 Jun 1991 ______      Birth                JAZGA 156C   styani | 11 Dec 2004             Death | [Death by: Infection associated           Unknown      Respiratory    Unknown after necropsy]
9121,M,21 Jun 1991,8001,8411,,,1995-12-13,WHIPSNADE | 21 Jun 1991 L1549             Birth     M16 GRIZMO              fulgens | YARMOUTH29 Dec 1991 ______            Transfer | COLCHESTR7 Jan 1994   1239            Transfer | WHIPSNADE7 Jan 1994 L1549             Transfer | MARWELL 17 Mar 1994   2532            Transfer | 13 Dec 1995                   Death | [Death by: Other/Unknown        Given to an institution:    Generalized          Unknown after necropsy]
9175,M,21 Jun 1991,8831,8759,styani,JEN-JEN,2008-11-29,SENDAISHI  21 Jun 1991 ______     Birth          JEN-JEN   JAZGA 157C   styani | ICHIKAWA   17 Mar 1992 ______     Transfer | 29 Nov 2008            Death | [Death by: Old age        Unknown   Unknown (after necropsy)]
9176,M,21 Jun 1991,8831,8759,styani,JUN-JUN,2001-05-23,SENDAISHI     21 Jun 1991 ______      Birth      JUN-JUN   JAZGA 158C   styani | CHIBA SHI     13 Jun 1992 ______      Transfer | 23 May 2001            Death | [Death by: Old age      Unknown      No necropsy planned]
9112,M,23 Jun 1991,8865,8824,fulgens,,2005-11-29,KOLN          23 Jun 1991    1370    Birth      BEN-BEN                fulgens | WARSAW         8 Nov 1992   S2941    Transfer | 29 Nov 2005            Death | [Death by: Unknown means]
9113,F,23 Jun 1991,8865,8824,fulgens,,2002-03-12,KOLN    23 Jun 1991   1371      Birth     TIAN-TIAN                    fulgens | PRAHA   17 Jul 1992   1371      Transfer | COPENHAGE9 Nov 1993 RED002      Transfer | 12 Mar 2002             Death | [Death by: Euthanasia (medical)   Incinerate    Unknown (after necropsy)]
9134,M,24 Jun 1991,8805,8527,styani,,1991-06-24,TOLEDO        24 Jun 1991 910029     Birth                             styani | 24 Jun 1991            Death | [Death by: Stillbirth      Mounted or Preserved:          Unknown (after necropsy)   Genetic/Prenatal]
9143,F,24 Jun 1991,7904,8305,fulgens,,2008-12-29,NZP-WASH      24 Jun 1991 110168     Birth      Killer                 fulgens | KANSASCTY      8 May 1992 102447     Transfer | KNOXVILLE     28 Feb 2000   1912     Transfer | ST LOUIS      18 May 2000 100181     Transfer | 29 Dec 2008            Death | [Death by: Unknown means]
9144,F,24 Jun 1991,7904,8305,fulgens,,2004-04-26,NZP-WASH      24 Jun 1991 110169     Birth      ROSIE                  fulgens | GREENVISC      8 May 1992 880211     Transfer | 13 Jul 1994 880211     Transfer | NZP-CRC        8 Jun 2000 110169     Transfer | 26 Apr 2004            Death | [Death by: Unknown means]
9177,M,24 Jun 1991,8752,8628,styani,KUSU,,SABAE         24 Jun 1991 ______     Birth      KUSU      JAZGA 159C   styani | ITOZU         23 Feb 1998 ______     Transfer
91102,?,24 Jun 1991,9097,8702,styani,AZA,1991-06-24,CINCINNAT     24 Jun 1991 191144     Birth                AZA 0207     styani | 24 Jun 1991            Death | [Death by: Stillbirth         Bury   No necropsy planned]
9137,F,25 Jun 1991,8901,8946,fulgens,,1992-02-01,FONTAINE      25 Jun 1991 ______     Birth                             fulgens | 1 Feb 1992            Death | [Death by: Unknown means]
9138,F,25 Jun 1991,8901,8946,fulgens,,1993-07-17,FONTAINE  25 Jun 1991 77AF3      Birth                                fulgens | 17 Jul 1993            Death | [Death by: Infection associated   Given to an institution:      Digestive     Viral]
9178,F,25 Jun 1991,9072,9073,styani,JAZGA,1994-08-21,KAGAWA      25 Jun 1991 ______    Birth                  JAZGA 160C   styani | 21 Aug 1994           Death | [Death by: Unknown means]
9129,M,26 Jun 1991,8730,8715,fulgens,,1991-07-16,MADRID Z  26 Jun 1991   PR31     Birth                                fulgens | 16 Jul 1991            Death | [Death by: Environ/Behav conditions   Unknown   No necropsy planned]
9130,M,26 Jun 1991,8730,8715,fulgens,,1991-07-16,MADRID Z  26 Jun 1991   PR32     Birth                                fulgens | 16 Jul 1991            Death | [Death by: Environ/Behav conditions   Unknown   No necropsy planned]
9131,F,26 Jun 1991,8730,8715,fulgens,,1991-07-21,MADRID Z  26 Jun 1991   PR33     Birth                                fulgens | 21 Jul 1991            Death | [Death by: Environ/Behav conditions   Unknown   No necropsy planned]
9151,M,29 Jun 1991,8415,8612,fulgens,,2001-12-03,OMAHA       29 Jun 1991   6119    Birth      Rusty                    fulgens | SCOTTSBLU   20 May 1992    612    Transfer | OAKHILL     19 Oct 2001 219145    Transfer | 3 Dec 2001           Death | [Death by: Unknown means]
9152,M,29 Jun 1991,8415,8612,fulgens,,1999-12-21,OMAHA     29 Jun 1991   6120      Birth      PATON                    fulgens | DALLAS    10 Apr 1992 927576      Transfer | S BARBARA 18 Dec 1998 980096      Transfer | 21 Dec 1999             Death | [Death by: Anesth/Restraint assoc   Rendered    Urinary    Mechanical abnormality]
9179,M,29 Jun 1991,8713,8840,styani,JAZGA,2005-07-28,NAGANO      29 Jun 1991 ______    Birth                  JAZGA 161C   styani | MISAKI      13 Mar 1993 ______    Transfer | HIMEHI SH   20 Aug 1999 ______    Transfer | 28 Jul 2005           Death | [Death by: Unknown means]
9180,M,29 Jun 1991,8749,8751,styani,TEN-TEN,,HIROSHIMA   29 Jun 1991 ______    Birth      TEN-TEN     JAZGA 162C   styani | KOBE PARK   24 Apr 1992 ______    Transfer
9181,M,29 Jun 1991,8749,8751,styani,FUU-FUU,,HIROSHIMA     29 Jun 1991 ______     Birth      FUU-FUU      JAZGA 163C   styani | HIMEJI        28 Aug 1994 ______     Transfer
9182,M,30 Jun 1991,8639,8640,styani,KEN-KEN,,ICHIKAWA      30 Jun 1991 ______     Birth      KEN-KEN      JAZGA 164C   styani | SENDAISHI     19 Mar 1992 ______     Transfer
9101,F,1 Jul 1991,8613,8721,fulgens,,2001-11-30,ROTTERDAM      1 Jul 1991 104282     Birth      SIRHA                     fulgens | PLANCKNDL     18 Sep 1992 005008     Transfer | ANTWERP        1 Jan 1996 005008     Transfer | VIENNA         1 Oct 1999 M2117      Transfer | 30 Nov 2001            Death | [Death by: Unknown means]
9142,M,1 Jul 1991,8712,7812,fulgens,,1992-02-05,KNOXVILLE      1 Jul 1991   1455     Birth     JOEY                       fulgens | 5 Feb 1992            Death | [Death by: Other/Unknown       Given to an institution:    No necropsy planned]
9281,M,~ 1991,WILD,WILD,styani,JAZGA,2000-11-19,CHINA            ????       NONE     Capture                 JAZGA 207C   styani | KAWASAKI      12 Oct 1992 ______     Transfer | 19 Nov 2000            Death | [Death by: Unknown means]
9282,F,~ 1991,WILD,WILD,styani,JAZGA,1999-10-06,CHINA            ????       NONE     Capture                 JAZGA 208C   styani | KAWASAKI      12 Oct 1992 ______     Transfer | 6 Oct 1999            Death | [Death by: Unknown means] | T325   F        ~ 1991       WILD    WILD   WOLONG             ~ 1991   NONE     Capture                              fulgens | 28 Mar 1993     30 ltf Transfer
